url_path,views_total,views_unique
/Kbasoya07/Tracky-Tock/graphs/traffic,20,1
/Kbasoya07/Tracky-Tock/pulse,14,1
/Kbasoya07/Tracky-Tock,6,1
/Kbasoya07/Tracky-Tock/blob/main/.github/workflows/traffic.yml,5,1
/Kbasoya07/Tracky-Tock/actions/workflows/traffic.yml,3,1
/Kbasoya07/Tracky-Tock/tree/main/.github/workflows,3,1
/Kbasoya07/Tracky-Tock/actions,2,1
/Kbasoya07/Tracky-Tock/actions/runs/32250743338,2,1
/Kbasoya07/Tracky-Tock/blob/github-repo-stats/Kbasoya07/Tracky-Tock/latest-report/report.html,2,1
/Kbasoya07/Tracky-Tock/edit/main/.github/workflows/traffic.yml,2,1
